#   N_BLOCK:  ACCEPTANCE:
           4    0.488846
           5    0.488778
           6    0.488706
           7    0.488636
           8    0.488569
           9      0.4885
          10    0.488432
          11    0.488367
          12      0.4883
          13    0.488236
          14    0.488173
          15    0.488104
          16    0.488036
          17    0.487968
          18    0.487903
          19     0.48784
          20    0.487773
          21    0.487703
          22    0.487636
          23    0.487568
          24    0.487504
          25    0.487442
          26    0.487375
          27    0.487313
          28    0.487244
          29    0.487178
          30    0.487112
          31    0.487053
          32    0.486988
          33    0.486924
          34    0.486861
          35    0.486799
          36    0.486735
          37    0.486675
          38    0.486607
          39    0.486546
          40    0.486479
          41    0.486413
          42    0.486348
          43    0.486289
          44    0.486228
          45    0.486169
          46    0.486105
          47    0.486042
          48    0.485975
          49    0.485917
          50    0.485852
          51    0.485789
          52    0.485727
          53    0.485667
          54    0.485607
          55    0.485545
          56    0.485483
          57    0.485425
          58    0.485368
          59    0.485308
          60    0.485248
          61    0.485186
          62    0.485128
          63     0.48507
          64    0.485008
          65    0.484945
          66    0.484885
          67    0.484825
          68     0.48476
          69    0.484698
          70     0.48464
          71    0.484582
          72    0.484525
          73    0.484471
          74     0.48441
          75    0.484355
          76    0.484296
          77    0.484239
          78     0.48418
          79    0.484117
          80     0.48406
          81       0.484
          82    0.483943
          83    0.483884
          84    0.483823
          85    0.483767
          86    0.483714
          87    0.483652
          88    0.483598
          89    0.483535
          90     0.48348
          91    0.483421
          92    0.483366
          93    0.483309
          94    0.483254
          95    0.483197
          96    0.483139
          97    0.483083
          98    0.483028
          99    0.482972
         100    0.482916
           1    0.482776
           2    0.482709
           3    0.482635
           4    0.482568
           5    0.482504
           6    0.482435
           7    0.482365
           8    0.482296
           9     0.48223
          10    0.482162
          11    0.482097
          12    0.482027
          13    0.481959
          14    0.481894
          15    0.481823
          16     0.48175
          17    0.481683
          18    0.481615
          19    0.481543
          20    0.481476
          21    0.481409
          22    0.481343
          23    0.481274
          24    0.481208
          25    0.481143
          26    0.481077
          27    0.481009
          28    0.480942
          29    0.480873
          30     0.48081
          31    0.480742
          32    0.480675
          33    0.480612
          34    0.480546
          35    0.480478
          36    0.480415
          37     0.48035
          38    0.480282
          39    0.480217
          40    0.480157
          41    0.480094
          42    0.480025
          43    0.479962
          44    0.479896
          45    0.479833
          46    0.479774
          47    0.479711
          48    0.479649
          49    0.479587
          50    0.479519
          51    0.479455
          52    0.479391
          53    0.479329
          54    0.479265
          55    0.479197
          56    0.479135
          57    0.479074
          58    0.479007
