#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
            454        2.95658         2.9157     0.00828125
            455        2.95622        2.91579     0.00826353
            456        2.95553        2.91588     0.00824587
            457        2.95454        2.91596     0.00822826
            458        2.95328        2.91604      0.0082107
            459        2.95178        2.91612     0.00819318
            460        2.95007         2.9162      0.0081757
            461        2.94819        2.91627     0.00815826
            462        2.94619        2.91633     0.00814086
            463        2.94409        2.91639     0.00812349
            464        2.94193        2.91645     0.00810617
            465        2.93975         2.9165     0.00808889
            466        2.93758        2.91654     0.00807166
            467        2.93544        2.91658     0.00805448
            468        2.93336        2.91662     0.00803735
            469        2.93136        2.91665     0.00802027
            470        2.92945        2.91668     0.00800326
            471        2.92764         2.9167      0.0079863
            472        2.92594        2.91672      0.0079694
            473        2.92433        2.91673     0.00795257
            474        2.92281        2.91675      0.0079358
            475        2.92138        2.91676      0.0079191
            476        2.92002        2.91676     0.00790247
            477        2.91871        2.91677      0.0078859
            478        2.91744        2.91677      0.0078694
            479        2.91618        2.91677     0.00785297
            480        2.91492        2.91676     0.00783662
            481        2.91366        2.91676     0.00782033
            482        2.91237        2.91675     0.00780411
            483        2.91104        2.91674     0.00778796
            484        2.90969        2.91672     0.00777188
            485        2.90829        2.91671     0.00775588
            486        2.90687        2.91669     0.00773994
            487        2.90543        2.91666     0.00772408
            488        2.90398        2.91664      0.0077083
            489        2.90255        2.91661     0.00769259
            490        2.90115        2.91658     0.00767696
            491         2.8998        2.91654      0.0076614
            492        2.89854        2.91651     0.00764591
            493        2.89738        2.91647      0.0076305
            494        2.89636        2.91643     0.00761516
            495        2.89549        2.91638      0.0075999
            496        2.89481        2.91634      0.0075847
            497        2.89433         2.9163     0.00756957
            498        2.89407        2.91625      0.0075545
            499        2.89405        2.91621     0.00753949
            500        2.89429        2.91616     0.00752454
            501         2.8948        2.91612     0.00750964
            502        2.89559        2.91608     0.00749479
            503        2.89667        2.91604     0.00747999
            504        2.89804          2.916     0.00746524
            505        2.89971        2.91597     0.00745052
            506        2.90168        2.91594     0.00743585
            507        2.90395        2.91592     0.00742122
            508        2.90651         2.9159     0.00740664
            509        2.90935        2.91589      0.0073921
            510        2.91246        2.91588     0.00737761
            511        2.91584        2.91588     0.00736317
            512        2.91945        2.91589     0.00734879
            513        2.92328         2.9159     0.00733448
            514         2.9273        2.91593     0.00732024
            515        2.93149        2.91596     0.00730609
            516        2.93581        2.91599     0.00729204
            517        2.94024        2.91604     0.00727808
            518        2.94474         2.9161     0.00726424
            519        2.94927        2.91616     0.00725053
            520         2.9538        2.91623     0.00723694
            521         2.9583        2.91631      0.0072235
            522        2.96272         2.9164     0.00721021
            523        2.96703         2.9165     0.00719708
            524         2.9712         2.9166      0.0071841
            525         2.9752        2.91672     0.00717128
            526          2.979        2.91683     0.00715863
            527        2.98256        2.91696     0.00714613
            528        2.98588        2.91709     0.00713379
            529        2.98891        2.91723     0.00712159
            530        2.99166        2.91737     0.00710954
            531         2.9941        2.91751     0.00709762
            532        2.99621        2.91766     0.00708582
            533          2.998        2.91781     0.00707413
            534        2.99946        2.91796     0.00706253
            535        3.00058        2.91812     0.00705102
            536        3.00137        2.91827     0.00703958
            537        3.00182        2.91843     0.00702819
            538        3.00195        2.91858     0.00701684
            539        3.00176        2.91874     0.00700552
            540        3.00127        2.91889     0.00699421
            541        3.00048        2.91904     0.00698291
            542        2.99942        2.91919      0.0069716
            543        2.99809        2.91933     0.00696027
            544        2.99651        2.91948     0.00694892
            545         2.9947        2.91961     0.00693755
            546        2.99267        2.91975     0.00692613
            547        2.99045        2.91988     0.00691467
            548        2.98803           2.92     0.00690317
            549        2.98545        2.92012     0.00689163
            550         2.9827        2.92023     0.00688004
            551        2.97981        2.92034      0.0068684
            552        2.97677        2.92044     0.00685672
            553        2.97361        2.92054     0.00684499
            554        2.97031        2.92063     0.00683323
            555         2.9669        2.92071     0.00682142
            556        2.96336        2.92079     0.00680959
            557        2.95971        2.92086     0.00679772
            558        2.95594        2.92092     0.00678583
            559        2.95206        2.92098     0.00677392
            560        2.94807        2.92103     0.00676199
            561        2.94397        2.92107     0.00675006
            562        2.93976         2.9211     0.00673813
            563        2.93546        2.92113     0.00672621
            564        2.93107        2.92114     0.00671431
            565        2.92659        2.92115     0.00670244
            566        2.92205        2.92116     0.00669059
            567        2.91745        2.92115      0.0066788
            568        2.91282        2.92113     0.00666705
            569        2.90818        2.92111     0.00665538
            570        2.90354        2.92108     0.00664377
            571        2.89894        2.92104     0.00663225
            572        2.89439          2.921     0.00662082
            573        2.88992        2.92094     0.00660949
            574        2.88555        2.92088     0.00659826
            575        2.88131        2.92081     0.00658714
            576        2.87722        2.92074     0.00657614
            577         2.8733        2.92065     0.00656526
            578        2.86957        2.92056     0.00655449
            579        2.86605        2.92047     0.00654385
            580        2.86274        2.92037     0.00653332
            581        2.85967        2.92027     0.00652291
            582        2.85684        2.92016     0.00651262
            583        2.85425        2.92004     0.00650243
            584        2.85191        2.91993     0.00649234
            585        2.84982        2.91981     0.00648235
            586        2.84799        2.91969     0.00647244
            587        2.84641        2.91956     0.00646262
            588        2.84509        2.91943     0.00645287
            589        2.84401        2.91931     0.00644319
            590        2.84318        2.91918     0.00643356
            591        2.84259        2.91905     0.00642398
            592        2.84224        2.91892     0.00641443
            593        2.84212        2.91879     0.00640493
            594        2.84222        2.91866     0.00639544
            595        2.84253        2.91853     0.00638597
            596        2.84304         2.9184     0.00637651
            597        2.84374        2.91828     0.00636706
            598        2.84462        2.91816      0.0063576
            599        2.84566        2.91804     0.00634814
            600        2.84684        2.91792     0.00633867
            601        2.84815         2.9178     0.00632918
            602        2.84958        2.91769     0.00631969
            603        2.85109        2.91758     0.00631017
            604        2.85268        2.91747     0.00630064
            605        2.85433        2.91736     0.00629109
            606        2.85602        2.91726     0.00628152
            607        2.85773        2.91717     0.00627194
            608        2.85945        2.91707     0.00626234
            609        2.86117        2.91698     0.00625273
            610        2.86287        2.91689     0.00624311
            611        2.86453         2.9168     0.00623348
            612        2.86616        2.91672     0.00622384
            613        2.86774        2.91664      0.0062142
            614        2.86926        2.91656     0.00620456
            615        2.87073        2.91649     0.00619492
            616        2.87213        2.91642     0.00618528
            617        2.87347        2.91635     0.00617565
            618        2.87475        2.91628     0.00616602
            619        2.87596        2.91622      0.0061564
            620         2.8771        2.91615      0.0061468
            621        2.87819        2.91609      0.0061372
            622        2.87922        2.91603     0.00612762
            623        2.88019        2.91598     0.00611806
            624        2.88111        2.91592     0.00610851
            625        2.88198        2.91586     0.00609898
            626        2.88282        2.91581     0.00608946
            627        2.88361        2.91576     0.00607997
            628        2.88436        2.91571     0.00607049
            629        2.88508        2.91566     0.00606103
            630        2.88577        2.91561      0.0060516
            631        2.88643        2.91557     0.00604219
            632        2.88706        2.91552     0.00603279
            633        2.88766        2.91548     0.00602342
            634        2.88823        2.91544     0.00601408
            635        2.88876        2.91539     0.00600475
            636        2.88926        2.91535     0.00599545
            637        2.88972        2.91531     0.00598617
            638        2.89014        2.91527     0.00597692
            639         2.8905        2.91523     0.00596769
            640         2.8908         2.9152     0.00595849
            641        2.89104        2.91516     0.00594931
            642        2.89119        2.91512     0.00594017
            643        2.89126        2.91508     0.00593104
            644        2.89123        2.91505     0.00592195
            645         2.8911        2.91501     0.00591288
            646        2.89084        2.91497     0.00590385
            647        2.89044        2.91493     0.00589485
            648        2.88991         2.9149     0.00588588
