#   N_BLOCK:  ACCEPTANCE:
          68    0.491071
          69    0.491016
          70    0.490961
          71    0.490906
          72    0.490851
          73    0.490793
          74    0.490737
          75    0.490676
          76    0.490621
          77    0.490566
          78    0.490505
          79    0.490445
          80    0.490388
          81    0.490333
          82    0.490278
          83    0.490226
          84    0.490173
          85    0.490117
          86    0.490063
          87    0.490008
          88    0.489952
          89    0.489898
          90    0.489843
          91    0.489788
          92    0.489733
          93    0.489679
          94    0.489626
          95    0.489571
          96    0.489516
          97    0.489464
          98    0.489409
          99    0.489353
         100      0.4893
           1    0.489201
           2     0.48913
           3    0.489063
           4    0.488996
           5    0.488928
           6     0.48886
           7     0.48879
           8    0.488722
           9    0.488652
          10    0.488586
          11     0.48852
          12    0.488451
          13    0.488383
          14    0.488318
          15    0.488248
          16    0.488178
          17    0.488109
          18    0.488043
          19    0.487976
          20    0.487907
          21     0.48784
          22    0.487774
          23    0.487707
          24    0.487643
          25    0.487578
          26    0.487511
          27    0.487443
          28    0.487377
          29    0.487312
          30    0.487246
          31     0.48718
          32    0.487118
          33    0.487054
          34     0.48699
          35    0.486923
          36    0.486861
          37    0.486794
          38     0.48673
          39     0.48667
          40    0.486606
          41    0.486543
          42    0.486482
          43     0.48642
          44    0.486355
          45    0.486291
          46    0.486231
          47    0.486168
          48    0.486106
          49    0.486044
          50    0.485983
          51    0.485921
          52    0.485861
          53    0.485801
          54    0.485736
          55    0.485675
          56    0.485615
          57    0.485552
          58     0.48549
          59    0.485433
          60    0.485371
          61    0.485312
          62     0.48525
          63    0.485194
          64    0.485133
          65    0.485074
          66    0.485017
          67    0.484955
          68    0.484896
          69    0.484835
          70    0.484776
          71    0.484715
          72    0.484653
          73    0.484593
          74    0.484533
          75    0.484473
          76    0.484414
          77    0.484356
          78    0.484296
          79     0.48424
          80    0.484181
          81    0.484121
          82    0.484062
          83    0.484004
          84    0.483945
          85    0.483888
          86    0.483829
          87     0.48377
          88    0.483714
          89    0.483657
          90    0.483603
          91    0.483545
          92     0.48349
          93    0.483433
          94    0.483376
          95    0.483323
          96    0.483265
          97    0.483208
          98    0.483151
          99    0.483097
         100    0.483041
           1     0.48294
           2    0.482868
           3      0.4828
           4    0.482728
           5    0.482658
           6    0.482588
           7    0.482518
           8    0.482447
           9    0.482378
          10    0.482312
          11    0.482243
          12    0.482174
          13    0.482105
          14    0.482035
          15    0.481965
          16    0.481895
          17    0.481827
          18    0.481761
          19    0.481691
          20    0.481625
          21    0.481559
          22     0.48149
          23    0.481422
          24    0.481356
          25     0.48129
          26    0.481221
          27    0.481155
          28    0.481089
          29    0.481024
          30    0.480956
          31    0.480892
          32    0.480826
          33    0.480761
          34    0.480694
          35    0.480627
          36     0.48056
          37    0.480495
          38    0.480428
          39    0.480361
          40    0.480297
          41    0.480232
          42    0.480168
          43    0.480105
          44    0.480038
          45    0.479973
          46     0.47991
          47    0.479845
          48    0.479779
          49    0.479717
          50    0.479655
          51    0.479591
          52     0.47953
          53    0.479468
          54    0.479402
          55    0.479339
          56    0.479273
          57    0.479212
          58    0.479149
          59    0.479088
          60    0.479025
          61    0.478963
          62    0.478901
          63    0.478839
          64    0.478774
          65    0.478711
          66    0.478648
          67    0.478586
          68    0.478525
          69    0.478462
          70    0.478401
          71    0.478343
          72    0.478281
          73    0.478221
          74    0.478162
          75    0.478099
          76    0.478036
          77    0.477977
          78    0.477916
          79    0.477853
          80    0.477791
          81    0.477728
          82    0.477667
          83    0.477605
          84    0.477546
          85    0.477487
          86    0.477426
          87    0.477366
          88    0.477306
          89    0.477246
          90    0.477188
          91    0.477126
          92    0.477068
          93    0.477009
          94    0.476947
          95    0.476889
          96    0.476828
          97    0.476769
          98    0.476709
          99    0.476651
         100    0.476591
           1    0.476491
           2    0.476417
           3    0.476346
           4    0.476276
           5    0.476205
           6    0.476134
           7    0.476064
           8    0.475993
           9    0.475919
          10    0.475849
          11    0.475777
          12    0.475707
          13    0.475635
          14    0.475564
          15    0.475495
          16    0.475421
          17    0.475351
          18    0.475284
          19    0.475216
          20    0.475146
          21    0.475077
          22    0.475004
          23    0.474933
          24    0.474864
          25    0.474796
          26    0.474726
          27    0.474659
          28    0.474591
          29    0.474521
          30    0.474452
          31    0.474383
          32    0.474313
          33    0.474245
          34    0.474177
          35    0.474107
          36    0.474037
          37    0.473968
          38    0.473899
          39     0.47383
          40    0.473765
          41    0.473697
          42    0.473627
          43     0.47356
          44    0.473494
          45    0.473427
          46    0.473362
          47    0.473297
          48    0.473229
          49     0.47316
          50    0.473095
          51    0.473029
          52    0.472962
          53    0.472895
          54    0.472829
          55    0.472763
          56    0.472697
          57    0.472631
          58    0.472564
          59    0.472499
          60    0.472435
          61    0.472368
          62    0.472305
          63    0.472241
          64    0.472175
          65    0.472112
          66    0.472047
          67    0.471987
          68    0.471922
          69    0.471857
          70    0.471796
          71    0.471735
          72    0.471674
          73    0.471608
          74    0.471545
          75    0.471482
          76    0.471417
          77    0.471354
          78     0.47129
          79    0.471228
          80    0.471166
          81    0.471103
          82     0.47104
          83    0.470976
          84    0.470913
          85    0.470853
          86    0.470792
          87    0.470729
          88    0.470669
          89    0.470605
          90    0.470543
          91    0.470481
          92    0.470421
          93    0.470358
          94    0.470298
          95    0.470237
          96    0.470177
          97    0.470116
          98    0.470054
          99    0.469991
         100     0.46993
           1    0.469828
           2    0.469755
           3    0.469683
           4    0.469609
           5    0.469535
           6    0.469462
           7     0.46939
           8    0.469317
           9    0.469244
          10    0.469172
          11    0.469099
          12     0.46903
          13    0.468959
          14    0.468886
          15    0.468817
          16    0.468745
          17    0.468674
          18    0.468601
          19     0.46853
          20    0.468457
          21    0.468387
          22    0.468314
          23    0.468242
          24    0.468172
          25    0.468103
          26    0.468032
          27    0.467959
          28    0.467887
          29    0.467815
          30    0.467743
          31    0.467673
          32    0.467603
          33    0.467534
          34    0.467464
          35    0.467394
          36    0.467323
          37    0.467253
          38    0.467187
          39    0.467119
          40    0.467048
          41    0.466979
          42    0.466911
          43    0.466841
          44    0.466774
          45    0.466707
          46    0.466641
          47     0.46657
          48    0.466503
          49    0.466437
          50    0.466369
          51      0.4663
          52    0.466233
          53    0.466166
          54    0.466099
          55     0.46603
          56    0.465963
          57    0.465896
          58     0.46583
          59    0.465763
          60    0.465696
          61    0.465628
          62    0.465562
          63    0.465493
          64    0.465426
          65    0.465361
          66    0.465296
          67    0.465231
          68    0.465165
