# VELOCITY:     ACTUAL_POFV:     AVE_POFV:        ERROR:
        3.79669      0.0192017      0.0160382     0.00130089
        3.83864      0.0139047      0.0115872     0.00117826
        3.88059      0.0157807      0.0125068     0.00232201
        3.92255      0.0172153      0.0123965     0.00210693
         3.9645     0.00849729     0.00761446      0.0012496
        4.00645       0.008718     0.00684198    0.000837208
         4.0484     0.00717304     0.00617985    0.000444473
        4.09035     0.00960084     0.00739375      0.0014566
        4.13231     0.00430382     0.00496595    0.000924756
        4.17426     0.00220709     0.00356813     0.00115663
      0.0209762     0.00110354    0.000441418    0.000202734
      0.0629285     0.00209673     0.00240021    0.000171738
       0.104881      0.0075041     0.00891112    0.000795179
       0.146833      0.0130218      0.0141254    0.000989351
       0.188786      0.0252712      0.0253815     0.00208837
       0.230738      0.0300164      0.0352583     0.00252266
        0.27269      0.0375205      0.0412174     0.00185337
       0.314643      0.0480042       0.057605     0.00293245
       0.356595      0.0792345      0.0806415    0.000822469
       0.398547      0.0956773       0.102161     0.00469061
         0.4405       0.108258       0.117776     0.00373973
       0.482452        0.14004       0.144261      0.0034068
       0.524404       0.174581       0.163794     0.00519844
       0.566357       0.185175       0.190196     0.00354522
       0.608309       0.244325       0.219909     0.00873103
       0.650261       0.268934       0.245649     0.00888619
       0.692214       0.274341        0.26554      0.0176008
       0.734166       0.293322       0.290591      0.0103386
       0.776119       0.302482         0.3136      0.0102556
       0.818071       0.341437       0.350265      0.0172329
       0.860023       0.349713       0.356859       0.007867
       0.901976       0.361963       0.367618      0.0119278
       0.943928         0.3986       0.410436      0.0110734
        0.98588       0.417692       0.445198      0.0165126
        1.02783       0.433803       0.444315     0.00751154
        1.06979       0.451129       0.472924      0.0100412
        1.11174       0.472317       0.484318     0.00684558
        1.15369       0.541289       0.515548      0.0092863
        1.19564       0.546475       0.526915     0.00807752
        1.23759          0.551       0.536074     0.00599129
        1.27955       0.545261       0.545924      0.0012899
         1.3215       0.540847       0.550917     0.00694262
        1.36345       0.564022       0.567001      0.0107553
         1.4054       0.554421       0.577926      0.0117225
        1.44736       0.573181       0.585265     0.00443165
        1.48931       0.553979       0.561897     0.00912532
        1.53126       0.546696       0.554724     0.00354154
        1.57321       0.514141       0.543937      0.0166816
        1.61517       0.521535        0.53853     0.00718841
        1.65712       0.554862       0.535247     0.00821236
        1.69907       0.556407       0.535136        0.01008
        1.74102       0.552214       0.551469      0.0113723
        1.78298       0.514362       0.519825      0.0140959
        1.82493       0.505313       0.508982     0.00662671
        1.86688       0.502334       0.498168      0.0085804
        1.90883       0.477393       0.469862     0.00855589
        1.95078       0.470883       0.464785     0.00893431
        1.99274       0.464813       0.451653      0.0120233
        2.03469       0.453888       0.441473       0.011029
        2.07664       0.429389       0.422437     0.00630145
        2.11859       0.414381       0.408781     0.00712763
        2.16055       0.422547       0.405028      0.0114988
         2.2025       0.405773       0.381826      0.0129162
        2.24445       0.374653       0.342071      0.0151737
         2.2864       0.363066       0.340802      0.0100248
        2.32836       0.350265       0.321683     0.00981589
        2.37031       0.322787       0.296522      0.0102463
        2.41226       0.299392       0.279031     0.00753896
        2.45421       0.275334       0.261954     0.00389603
        2.49617       0.249291       0.240628     0.00376208
        2.53812       0.254367       0.232241      0.0071578
        2.58007       0.243883       0.222281     0.00817875
        2.62202       0.213757       0.209204     0.00793818
        2.66397       0.181092       0.187989     0.00556696
        2.70593       0.172263       0.170056     0.00198139
        2.74788        0.17745       0.167132     0.00720369
        2.78983       0.160897       0.157724     0.00725674
        2.83178       0.140481       0.138274      0.0011355
        2.87374       0.128453       0.128259      0.0017389
        2.91569       0.105168       0.114438      0.0031843
        2.95764       0.119404       0.111127     0.00284337
        2.99959       0.104726       0.107209     0.00381891
        3.04155      0.0862972       0.104975     0.00592666
         3.0835      0.0755928      0.0900492     0.00657767
        3.12545      0.0612467      0.0792069     0.00698873
         3.1674      0.0646677      0.0765032     0.00457761
        3.20936      0.0613571      0.0622951     0.00266412
        3.25131      0.0570533      0.0622951     0.00288997
        3.29326      0.0544048      0.0552048     0.00173452
        3.33521      0.0464592      0.0463765     0.00086926
        3.37716      0.0411622      0.0401414     0.00110587
        3.41912      0.0271472      0.0363066     0.00281269
        3.46107      0.0235055       0.031589     0.00234174
        3.50302      0.0215191      0.0308441     0.00323635
