#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
            694        1.23728        1.20807     0.00917777
            695        1.23044         1.2081     0.00916462
            696        1.22374        1.20812     0.00915148
            697        1.21722        1.20814     0.00913836
            698        1.21091        1.20814     0.00912527
            699        1.20485        1.20813     0.00911222
            700        1.19906        1.20812     0.00909921
            701        1.19356         1.2081     0.00908625
            702        1.18839        1.20807     0.00907335
            703        1.18355        1.20804     0.00906051
            704        1.17906          1.208     0.00904774
            705        1.17494        1.20795     0.00903503
            706         1.1712         1.2079     0.00902238
            707        1.16785        1.20784     0.00900979
            708        1.16488        1.20778     0.00899727
            709        1.16231        1.20772     0.00898481
            710        1.16014        1.20765     0.00897241
            711        1.15835        1.20758     0.00896005
            712        1.15696        1.20751     0.00894775
            713        1.15594        1.20744      0.0089355
            714         1.1553        1.20736     0.00892328
            715        1.15502        1.20729      0.0089111
            716        1.15509        1.20722     0.00889895
            717        1.15548        1.20714     0.00888683
            718        1.15619        1.20707     0.00887474
            719        1.15718          1.207     0.00886267
            720        1.15844        1.20694     0.00885061
            721        1.15995        1.20687     0.00883858
            722        1.16168        1.20681     0.00882656
            723        1.16361        1.20675     0.00881455
            724        1.16571        1.20669     0.00880256
            725        1.16795        1.20664     0.00879058
            726        1.17032        1.20659     0.00877862
            727        1.17277        1.20654     0.00876666
            728        1.17529         1.2065     0.00875473
            729        1.17785        1.20646     0.00874281
            730        1.18042        1.20643      0.0087309
            731        1.18299        1.20639     0.00871902
            732        1.18552        1.20636     0.00870715
            733          1.188        1.20634     0.00869531
