#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
            383        7.23017        8.05715      0.0916772
            384        7.23352          8.055      0.0914635
            385        7.23956        8.05289      0.0912505
            386        7.24898         8.0508      0.0910378
            387        7.25752        8.04875      0.0908257
            388        7.26587        8.04674       0.090614
            389        7.28173        8.04477      0.0904024
            390         7.2973        8.04285      0.0901909
            391        7.31323        8.04099      0.0899795
            392        7.33156        8.03918      0.0897682
            393        7.35222        8.03743      0.0895568
            394        7.37514        8.03575      0.0893453
            395        7.39669        8.03413      0.0891337
            396        7.42174        8.03258      0.0889221
            397        7.44592        8.03111      0.0887103
            398        7.47406        8.02971      0.0884985
            399        7.50112        8.02838      0.0882866
            400        7.53048        8.02714      0.0880747
            401         7.5606        8.02597      0.0878627
            402        7.58992        8.02489      0.0876508
            403        7.62251        8.02389       0.087439
            404        7.65325        8.02297      0.0872274
            405        7.68269        8.02213      0.0870161
            406         7.7142        8.02137      0.0868051
            407        7.74477        8.02069      0.0865944
            408         7.7742        8.02009      0.0863843
            409        7.80232        8.01956      0.0861747
            410        7.83034         8.0191      0.0859658
            411        7.85736         8.0187      0.0857575
            412        7.88319        8.01837        0.08555
            413        7.90977        8.01811      0.0853433
            414        7.93338        8.01791      0.0851374
            415        7.95385        8.01775      0.0849324
            416        7.97455        8.01765      0.0847283
            417        7.98969        8.01758      0.0845251
            418        8.00481        8.01755      0.0843229
            419        8.01838        8.01755      0.0841217
            420        8.03033        8.01758      0.0839214
            421        8.03776        8.01763       0.083722
            422        8.04558         8.0177      0.0835237
            423        8.04813        8.01777      0.0833263
            424        8.05041        8.01785      0.0831298
            425        8.05104        8.01792      0.0829342
            426        8.04656        8.01799      0.0827395
            427        8.03989        8.01804      0.0825458
            428        8.03187        8.01807      0.0823529
            429        8.02546        8.01809       0.082161
            430        8.01587        8.01809      0.0819699
            431        8.00115        8.01805      0.0817797
            432        7.98854        8.01798      0.0815904
            433        7.97399        8.01788      0.0814021
            434         7.9591        8.01774      0.0812146
            435        7.94052        8.01756      0.0810281
            436        7.92407        8.01735      0.0808426
            437        7.90571        8.01709       0.080658
            438        7.88773         8.0168      0.0804744
            439          7.871        8.01647      0.0802917
            440        7.85215        8.01609      0.0801101
            441        7.83205        8.01568      0.0799296
            442        7.81577        8.01522        0.07975
            443        7.79709        8.01473      0.0795715
            444        7.77825         8.0142      0.0793941
            445         7.7615        8.01363      0.0792177
            446        7.74696        8.01303      0.0790423
            447         7.7319         8.0124       0.078868
            448        7.71575        8.01174      0.0786947
            449        7.70282        8.01105      0.0785225
            450        7.68901        8.01034      0.0783512
            451        7.67864         8.0096       0.078181
            452         7.6704        8.00885      0.0780116
            453        7.66369        8.00809      0.0778431
            454        7.65718        8.00732      0.0776755
            455         7.6552        8.00654      0.0775086
            456        7.65076        8.00576      0.0773426
            457        7.64959        8.00498      0.0771773
            458        7.65104        8.00421      0.0770126
            459        7.65448        8.00345      0.0768486
            460        7.66206        8.00271      0.0766851
            461        7.66816        8.00198      0.0765222
            462        7.67776        8.00128      0.0763598
            463        7.69016        8.00061      0.0761978
            464        7.70324        7.99997      0.0760363
            465        7.71698        7.99936      0.0758752
            466        7.73631        7.99879      0.0757145
            467        7.75622        7.99827      0.0755542
            468        7.77879        7.99781      0.0753942
            469        7.80181        7.99739      0.0752346
            470        7.82591        7.99702      0.0750754
            471        7.85452        7.99672      0.0749166
            472        7.88541        7.99648      0.0747582
            473        7.91774        7.99632      0.0746004
            474        7.95279        7.99623      0.0744431
            475         7.9876        7.99621      0.0742863
            476         8.0234        7.99626      0.0741303
            477        8.06146         7.9964       0.073975
            478        8.09667        7.99661      0.0738205
            479        8.13169        7.99689       0.073667
            480        8.16634        7.99725      0.0735143
            481        8.19904        7.99767      0.0733627
            482        8.23949        7.99817      0.0732122
            483        8.27482        7.99874      0.0730629
            484        8.30911        7.99938      0.0729147
            485        8.34572         8.0001      0.0727679
            486        8.38026        8.00088      0.0726224
            487        8.41401        8.00173      0.0724782
            488        8.44616        8.00264      0.0723354
            489        8.47656        8.00361       0.072194
            490        8.50652        8.00463      0.0720539
            491        8.53665        8.00572      0.0719153
            492        8.56336        8.00685      0.0717781
            493        8.58867        8.00803      0.0716422
            494        8.61396        8.00926      0.0715077
            495        8.63636        8.01052      0.0713744
            496        8.65794        8.01183      0.0712425
            497        8.67797        8.01317      0.0711117
            498        8.69431        8.01454      0.0709821
            499        8.71473        8.01594      0.0708537
            500        8.72863        8.01736      0.0707263
            501        8.74451        8.01882      0.0706001
            502        8.75743        8.02029      0.0704747
            503        8.76953        8.02178      0.0703504
            504        8.77729        8.02328      0.0702268
            505        8.78711        8.02479       0.070104
            506        8.79406        8.02631      0.0699819
            507        8.79817        8.02783      0.0698604
            508        8.80441        8.02936      0.0697397
            509        8.80715        8.03089      0.0696194
            510        8.80995        8.03242      0.0694996
            511        8.80932        8.03394      0.0693802
            512        8.80597        8.03544      0.0692611
            513        8.80346        8.03694      0.0691423
            514          8.799        8.03842      0.0690237
            515        8.79261        8.03989      0.0689052
            516        8.78573        8.04133      0.0687868
            517         8.7791        8.04276      0.0686685
            518        8.77346        8.04417      0.0685505
            519        8.76249        8.04556      0.0684324
            520        8.75047        8.04691      0.0683142
            521        8.73744        8.04824      0.0681959
            522        8.72555        8.04953      0.0680776
            523        8.71275         8.0508      0.0679593
            524        8.69837        8.05204      0.0678408
            525          8.686        8.05325      0.0677223
            526        8.67216        8.05442      0.0676038
            527        8.65338        8.05556      0.0674851
            528        8.63466        8.05666      0.0673662
            529        8.61537        8.05771      0.0672471
            530        8.59696        8.05873      0.0671279
            531        8.57811        8.05971      0.0670086
            532        8.55814        8.06064      0.0668892
            533        8.53712        8.06154      0.0667697
            534        8.51649        8.06239      0.0666501
            535        8.49701         8.0632      0.0665305
            536         8.4773        8.06397      0.0664108
            537         8.4553         8.0647      0.0662912
            538        8.43455        8.06539      0.0661715
            539         8.4151        8.06604      0.0660519
            540        8.39271        8.06664      0.0659324
            541        8.37167        8.06721      0.0658129
            542        8.34985        8.06773      0.0656935
            543         8.3294        8.06821      0.0655743
            544        8.30606        8.06865      0.0654552
            545         8.2855        8.06905      0.0653364
            546        8.26348         8.0694      0.0652177
            547        8.24071        8.06972      0.0650992
            548        8.21861        8.06999       0.064981
            549        8.19787        8.07022       0.064863
            550        8.17568        8.07041      0.0647454
            551        8.15699        8.07057       0.064628
            552         8.1376        8.07069      0.0645111
            553         8.1161        8.07077      0.0643945
            554        8.09606        8.07082      0.0642783
            555        8.07397        8.07082      0.0641624
            556        8.05127        8.07079      0.0640471
            557        8.02944        8.07072      0.0639321
            558        8.00639         8.0706      0.0638176
            559        7.98359        8.07044      0.0637037
            560        7.96391        8.07025      0.0635902
            561         7.9432        8.07003      0.0634772
            562        7.92221        8.06976      0.0633648
            563        7.90314        8.06947       0.063253
            564        7.88534        8.06914      0.0631417
            565        7.86747        8.06879      0.0630309
            566        7.85102         8.0684      0.0629207
            567        7.83463        8.06799      0.0628111
            568        7.81978        8.06755      0.0627021
            569        7.80298        8.06709      0.0625936
            570        7.78924         8.0666      0.0624857
            571        7.77649        8.06609      0.0623783
            572        7.76549        8.06557      0.0622715
            573        7.75487        8.06502      0.0621651
            574        7.74818        8.06447      0.0620593
            575        7.74192        8.06391      0.0619539
            576        7.73329        8.06334       0.061849
            577        7.72867        8.06276      0.0617445
            578        7.72313        8.06217      0.0616405
            579         7.7195        8.06158      0.0615369
            580        7.71776        8.06098      0.0614336
            581        7.71511        8.06039      0.0613308
            582        7.71505         8.0598      0.0612283
            583        7.71546         8.0592      0.0611261
            584        7.71702        8.05862      0.0610242
            585        7.72111        8.05804      0.0609227
            586         7.7263        8.05748      0.0608213
            587        7.73184        8.05692      0.0607202
            588        7.73773        8.05638      0.0606194
            589        7.74391        8.05585      0.0605188
            590        7.75318        8.05533      0.0604184
            591        7.76407        8.05484      0.0603182
            592        7.77513        8.05437      0.0602181
            593        7.78558        8.05392      0.0601183
            594         7.7982        8.05349      0.0600186
            595        7.81081        8.05308      0.0599191
            596        7.82264        8.05269      0.0598199
            597        7.83716        8.05233      0.0597207
            598        7.85287          8.052      0.0596218
            599        7.86898        8.05169      0.0595231
            600          7.884        8.05141      0.0594245
            601        7.89995        8.05116      0.0593262
            602        7.91602        8.05093       0.059228
            603           7.93        8.05073      0.0591302
            604         7.9446        8.05056      0.0590325
            605        7.95973        8.05041      0.0589351
            606        7.97456        8.05028       0.058838
            607        7.98899        8.05018      0.0587412
            608        8.00504        8.05011      0.0586446
            609        8.01835        8.05006      0.0585483
            610        8.03238        8.05003      0.0584524
            611         8.0456        8.05002      0.0583567
            612        8.05653        8.05003      0.0582613
            613        8.06789        8.05006      0.0581663
            614        8.07822        8.05011      0.0580716
            615        8.08674        8.05016      0.0579772
            616        8.09411        8.05024      0.0578831
            617        8.10029        8.05032      0.0577894
            618        8.10523        8.05041      0.0576959
            619        8.10677         8.0505      0.0576028
            620        8.10702        8.05059      0.0575099
            621        8.10874        8.05068      0.0574174
            622        8.10769        8.05077      0.0573252
            623        8.10382        8.05086      0.0572332
            624        8.10062        8.05094      0.0571416
            625        8.09452        8.05101      0.0570502
            626        8.08901        8.05107      0.0569591
            627         8.0805        8.05112      0.0568683
            628        8.06968        8.05115      0.0567777
            629        8.05859        8.05116      0.0566874
            630        8.04649        8.05115      0.0565975
            631        8.02983        8.05112      0.0565078
            632        8.01211        8.05105      0.0564184
            633        7.99402        8.05096      0.0563293
            634        7.97275        8.05084      0.0562406
            635        7.94905        8.05068      0.0561523
            636        7.92154        8.05048      0.0560644
            637        7.89667        8.05024      0.0559769
            638        7.87101        8.04996      0.0558898
            639        7.84044        8.04963      0.0558033
            640        7.81005        8.04925      0.0557174
            641        7.77928        8.04883      0.0556321
            642        7.74762        8.04836      0.0555474
            643        7.71453        8.04784      0.0554634
            644        7.68303        8.04728      0.0553802
            645        7.64837        8.04666      0.0552978
            646        7.61426        8.04599      0.0552162
            647        7.58232        8.04527      0.0551356
            648         7.5478         8.0445      0.0550558
            649        7.51582        8.04369       0.054977
            650        7.48655        8.04283      0.0548991
            651        7.45307        8.04193      0.0548223
            652        7.42191        8.04098      0.0547464
            653        7.39108        8.03998      0.0546716
            654        7.36074        8.03894      0.0545979
            655        7.33382        8.03787      0.0545251
            656        7.30622        8.03675      0.0544534
            657        7.28228         8.0356      0.0543827
            658        7.25998        8.03442      0.0543128
            659         7.2373        8.03321      0.0542438
            660        7.22067        8.03198      0.0541756
            661        7.20525        8.03073      0.0541081
            662        7.18901        8.02946      0.0540413
            663        7.17273        8.02817      0.0539752
            664        7.16354        8.02687      0.0539097
            665        7.15657        8.02556      0.0538445
            666         7.1512        8.02424      0.0537796
            667        7.14961        8.02293       0.053715
            668         7.1476        8.02162      0.0536505
            669        7.14664        8.02031      0.0535863
            670        7.15102        8.01902       0.053522
            671        7.15791        8.01773      0.0534576
            672        7.16664        8.01647      0.0533931
            673        7.17722        8.01522      0.0533283
            674        7.19105          8.014      0.0532632
            675         7.2088         8.0128      0.0531977
            676        7.22761        8.01164      0.0531316
            677        7.24743        8.01051      0.0530651
            678        7.27311        8.00943       0.052998
            679        7.30033        8.00838      0.0529303
            680        7.32687        8.00738      0.0528619
            681        7.35894        8.00643      0.0527929
            682        7.38934        8.00552      0.0527232
            683        7.42215        8.00467      0.0526529
            684        7.45647        8.00387       0.052582
            685        7.49142        8.00312      0.0525106
            686        7.52819        8.00243      0.0524386
            687        7.56729        8.00179      0.0523661
            688        7.60709        8.00122      0.0522932
            689        7.64595         8.0007      0.0522198
            690         7.6879        8.00025      0.0521461
            691        7.72706        7.99986      0.0520721
            692        7.76534        7.99952       0.051998
            693        7.80675        7.99924      0.0519237
            694        7.84614        7.99902      0.0518493
            695        7.88473        7.99885       0.051775
            696        7.92161        7.99874      0.0517007
            697        7.95805        7.99868      0.0516266
            698        7.99033        7.99867      0.0515526
            699        8.02183        7.99871      0.0514789
            700        8.05171        7.99878      0.0514054
            701        8.08267         7.9989      0.0513322
            702        8.11249        7.99906      0.0512593
            703        8.13824        7.99926      0.0511868
            704        8.16199        7.99949      0.0511146
            705        8.18295        7.99975      0.0510428
            706        8.20178        8.00004      0.0509713
            707        8.22128        8.00035      0.0509001
            708        8.23718        8.00069      0.0508293
            709        8.25162        8.00104      0.0507589
            710        8.26317        8.00141      0.0506887
            711        8.27045        8.00179      0.0506189
            712        8.27914        8.00218      0.0505493
            713        8.28365        8.00257      0.0504799
            714        8.28686        8.00297      0.0504108
            715        8.28602        8.00337      0.0503418
            716        8.28404        8.00376       0.050273
            717        8.28103        8.00414      0.0502044
            718        8.27639        8.00452      0.0501359
            719        8.27093        8.00489      0.0500676
            720        8.26479        8.00526      0.0499993
            721        8.25667         8.0056      0.0499312
            722        8.24601        8.00594      0.0498631
            723        8.23506        8.00625      0.0497952
            724        8.22468        8.00656      0.0497273
            725        8.21288        8.00684      0.0496595
            726         8.1991         8.0071      0.0495919
            727        8.18489        8.00735      0.0495242
            728         8.1704        8.00757      0.0494567
            729        8.15787        8.00778      0.0493893
            730        8.14462        8.00797       0.049322
            731        8.13145        8.00814      0.0492548
            732        8.11708        8.00828      0.0491878
            733        8.10585        8.00842      0.0491208
            734        8.09219        8.00853       0.049054
            735        8.08044        8.00863      0.0489874
            736        8.06785        8.00871      0.0489209
            737         8.0552        8.00877      0.0488546
            738        8.04398        8.00882      0.0487884
